0|game.store.comboPacks.24.name|18 Instant revive tokens
0|game.store.comboPacks.24.description|18 instant revive tokens for use in both single player and multiplayer
0|game.store.comboPacks.11.name|3 Instant revive tokens
0|game.store.comboPacks.11.description|3 instant revive tokens for use in both single player and multiplayer
0|localization.dialogMessage.survivorsMessages.msg2EvacBails|Whooaa! There's giant infected coming out of the ground! You guys keep em' distracted, I'm getting these civvies outa here.
1793|weapon.Raptor_v2.desc|The Raptor is the weapon of choice for situations requiring high accuracy and mobility combined with decent stopping power. 3 shot bursts will drop most light armored human targets.
1812|weapon.Raptor_v1.desc|The Raptor is the weapon of choice for situations requiring high accuracy and mobility combined with decent stopping power. 3 shot bursts will drop most light armored human targets.
2053|weapon.HIKHeavyshotProtector_v1.desc|HIK Heavyshot shoots huge calibre armor piercing bullets capable of neutralising most targets in a single shot.
2070|weapon.HIKHeavyshotProtector_v2.desc|HIK Heavyshot shoots huge calibre armor piercing bullets capable of neutralising most targets in a single shot.
660|equipment.RubiconPowerAssist_v1.desc|Power assisted suit allows for faster movement than normal while still providing excellent body armor protection.
626|equipment.R7GuardianPants_v1.desc|6 Alternating layers of bullet proof and impact resistant material with heat proof mesh results in a flexible but effective piece of armor.
617|equipment.TitanMEMTrooper_v1.desc|Titan Mechanically Enhanced Movement nullifies the bulk of this superior leg armor.
1890|equipment.RubiconPowerAssist_v2.desc|Power assisted suit allows for faster movement than normal while still providing excellent body armor protection.
1948|equipment.R7GuardianPants_v2.desc|6 Alternating layers of bullet proof and impact resistant material with heat proof mesh results in a flexible but effective piece of armor.
1917|equipment.ShotliteHummingbirdG1_v2.desc|Hummingbird series armor uses Shotlite's "Solid Air" technology to create incredibly light armor pieces with high physical and thermal resilience.
1949|equipment.ShotliteHummingbirdG1_v1.desc|Hummingbird series armor uses Shotlite's "Solid Air" technology to create incredibly light armor pieces with high physical and thermal resilience.
1969|equipment.ShotliteHummingbirdP1_v2.desc|Hummingbird series armor uses Shotlite's "Solid Air" technology to create incredibly light armor pieces with high physical and thermal resilience.
1928|equipment.ShotliteHummingbirdV1_v2.desc|Hummingbird series armor uses Shotlite's "Solid Air" technology to create incredibly light armor pieces with high physical and thermal resilience.
1903|equipment.ShotliteHummingbirdH1_v2.desc|Hummingbird series armor uses Shotlite's "Solid Air" technology to create incredibly light armor pieces with high physical and thermal resilience.
1901|equipment.ShotliteHummingbirdH1_v1.desc|Hummingbird series armor uses Shotlite's "Solid Air" technology to create incredibly light armor pieces with high physical and thermal resilience.
1936|equipment.ShotliteHummingbirdV1_v1.desc|Hummingbird series armor uses Shotlite's "Solid Air" technology to create incredibly light armor pieces with high physical and thermal resilience.
1959|equipment.ShotliteHummingbirdP1_v1.desc|Hummingbird series armor uses Shotlite's "Solid Air" technology to create incredibly light armor pieces with high physical and thermal resilience.
1894|equipment.TitanMEMTrooper_v2.desc|Titan Mechanically Enhanced Movement nullifies the bulk of this superior leg armor.
0|game.skills.base.6.name|Body Armor Expert
0|game.skills.base.6.gameDesc|Increases the total physical, heat and toxic resistance for all armor worn
0|game.skills.base.6.skillLevelDesc|[amountTotalPercent] increase in total armor
0|game.skills.heavy.1.gameDesc|Reduces percentage of negative movement effects for weapons and armor.
0|game.skills.heavy.2.details|get an extra [amountPercent] damage reduction from all damage types + [increaseAmount] per point - this is applied AFTER all armor calculations
